id_subcategory,subcategory_name,fk_id_category,date_up,date_down
1,Alimentacao,2,2025-03-07 23:29:11,2025-03-07 23:29:11
2,Cinema,2,2025-03-07 23:29:11,2025-03-07 23:29:11
3,Agua,1,2025-03-07 23:29:11,2025-03-07 23:29:11
4,Gasolina,1,2025-03-07 23:29:11,2025-03-07 23:29:11
5,Alimentacao,1,2025-03-07 23:29:11,2025-03-07 23:29:11
6,Alimentacao,3,2025-03-07 23:29:11,2025-03-07 23:29:11
7,Estacionamento,3,2025-03-07 23:29:11,2025-03-07 23:29:11
8,Gasolina,3,2025-03-07 23:29:11,2025-03-07 23:29:11
9,Marketing Digital,3,2025-03-07 23:29:11,2025-03-07 23:29:11
10,Reuniao,3,2025-03-07 23:29:11,2025-03-07 23:29:11
11,Transporte,3,2025-03-07 23:29:11,2025-03-07 23:29:11
12,Figurino,3,2025-03-07 23:29:11,2025-03-07 23:29:11
13,Refeicao,1,2025-03-07 23:29:11,2025-03-07 23:29:11
14,Bump,4,2025-03-07 23:29:11,2025-03-07 23:29:11
15,Alimentacao,5,2025-03-07 23:29:11,2025-03-07 23:29:11
16,Remedios,6,2025-03-07 23:29:11,2025-03-07 23:29:11
17,Equipamento,6,2025-03-07 23:29:11,2025-03-07 23:29:11
18,Salario,4,2025-03-07 23:29:11,2025-03-07 23:29:11
